"i","k","u_k","int_code","sign_ok"
1,1,0.19110296814605,1,TRUE
2,1,-0.556034233310798,-1,TRUE
3,1,-0.0466004402775596,-1,TRUE
4,1,-0.308416564040521,-1,TRUE
5,1,-0.246798707431376,-1,TRUE
6,1,0.7259154666067,1,TRUE
7,1,-0.0722541026244776,-1,TRUE
8,1,-0.520791477313148,-1,TRUE
9,1,-0.479091589840423,-1,TRUE
10,1,0.755528362165016,1,TRUE
11,1,2.50409175963921,1,TRUE
12,1,0.531672514915794,1,TRUE
13,1,-0.0579872692983828,-1,TRUE
14,1,1.84351578502684,1,TRUE
15,1,-0.241519872567391,-1,TRUE
16,1,2.52418037367671,1,TRUE
17,1,-0.045434415645929,-1,TRUE
18,1,-0.516569534252744,-1,TRUE
19,1,-0.432229335881401,-1,TRUE
20,1,0.211508520049783,1,TRUE
21,1,-0.151535646811868,-1,TRUE
22,1,-0.453138121394337,-1,TRUE
23,1,-0.10373202833515,-1,TRUE
24,1,-0.256321061000277,-1,TRUE
25,1,0.261610892619703,1,TRUE
26,1,-0.299390470899907,-1,TRUE
27,1,-0.476124559164937,-1,TRUE
28,1,0.251729183864767,1,TRUE
29,1,-0.427232768336244,-1,TRUE
30,1,-0.463825411517284,-1,TRUE
31,1,-0.068298939987556,-1,TRUE
32,1,0.72385029741573,1,TRUE
33,1,2.19960802777858,1,TRUE
34,1,0.187473456529173,1,TRUE
35,1,-0.127799996980814,-1,TRUE
36,1,-0.332164663954483,-1,TRUE
37,1,-0.379613899422867,-1,TRUE
38,1,-0.0227820972905273,-1,TRUE
39,1,-0.277969546620438,-1,TRUE
40,1,-0.0893174093146586,-1,TRUE
41,1,0.465696572476493,1,TRUE
42,1,-0.361649855866173,-1,TRUE
43,1,-0.242176628006042,-1,TRUE
44,1,-0.555577187648811,-1,TRUE
45,1,-0.325086904316827,-1,TRUE
46,1,-0.447228926337334,-1,TRUE
47,1,-0.229981060691116,-1,TRUE
48,1,0.0741871053803687,1,TRUE
49,1,-0.473515294307723,-1,TRUE
50,1,-0.420977613561504,-1,TRUE
1,2,-1.20880050020795,-1,TRUE
2,2,0.575520553015672,1,TRUE
3,2,0.150841389179133,1,TRUE
4,2,0.149435863563484,1,TRUE
5,2,-0.605016063486394,-1,TRUE
6,2,-1.58957995988805,-1,TRUE
7,2,-1.39802417106824,-1,TRUE
8,2,-0.0506621708047308,-1,TRUE
9,2,-0.41918033776315,-1,TRUE
10,2,-1.24832750809637,-1,TRUE
11,2,0.117074847518258,1,TRUE
12,2,-0.7884792031374,-1,TRUE
13,2,1.04281768538553,1,TRUE
14,2,-0.997490703197234,-1,TRUE
15,2,0.866664074372116,1,TRUE
16,2,0.441254979131479,1,TRUE
17,2,0.0624009202674227,1,TRUE
18,2,0.393731883260946,1,TRUE
19,2,0.443567535219132,1,TRUE
20,2,-0.610154533642249,-1,TRUE
21,2,0.162102166510885,1,TRUE
22,2,-0.154861427115835,-1,TRUE
23,2,0.137384891943884,1,TRUE
24,2,-1.28492724434036,-1,TRUE
25,2,0.516507318492383,1,TRUE
26,2,0.37496444974036,1,TRUE
27,2,0.913691380547532,1,TRUE
28,2,-0.120238160278864,-1,TRUE
29,2,2.32376461011937,1,TRUE
30,2,0.989361077984194,1,TRUE
31,2,-0.339816977021284,-1,TRUE
32,2,-0.995018847427193,-1,TRUE
33,2,-1.32563863121262,-1,TRUE
34,2,-0.488515990901506,-1,TRUE
35,2,-0.678671834614369,-1,TRUE
36,2,-2.13731952801645,-1,TRUE
37,2,0.85098676892874,1,TRUE
38,2,0.355060778859342,1,TRUE
39,2,1.18272882247716,1,TRUE
40,2,-0.429435652098223,-1,TRUE
41,2,0.375150395527972,1,TRUE
42,2,0.36046448457715,1,TRUE
43,2,-0.631553683839814,-1,TRUE
44,2,0.146935189524194,1,TRUE
45,2,0.294845953999711,1,TRUE
46,2,-0.579557841272771,-1,TRUE
47,2,-0.373278012281831,-1,TRUE
48,2,-0.0101809134716533,-1,TRUE
49,2,0.608013503548342,1,TRUE
50,2,-0.677374852071289,-1,TRUE
1,3,0.200775541836547,1,TRUE
2,3,-1.05112865688006,-1,TRUE
3,3,0.971094309886763,1,TRUE
4,3,-1.4622508310878,-1,TRUE
5,3,0.439496014189065,1,TRUE
6,3,1.06244999567404,1,TRUE
7,3,0.616191291856376,1,TRUE
8,3,0.286168918828577,1,TRUE
9,3,-0.217509888416264,-1,TRUE
10,3,0.820533804376532,1,TRUE
11,3,0.772550767259318,1,TRUE
12,3,0.980692609881933,1,TRUE
13,3,0.3488409476569,1,TRUE
14,3,1.06375178685756,1,TRUE
15,3,-1.39692458296069,-1,TRUE
16,3,1.00205390973939,1,TRUE
17,3,-0.361340291632397,-1,TRUE
18,3,-0.835696761093749,-1,TRUE
19,3,0.606096931126806,1,TRUE
20,3,-0.106095321831073,-1,TRUE
21,3,0.979916209785935,1,TRUE
22,3,-0.848662185195755,-1,TRUE
23,3,-1.75907384307718,-1,TRUE
24,3,0.811854305742735,1,TRUE
25,3,-1.31797424241257,-1,TRUE
26,3,-0.104254561590583,-1,TRUE
27,3,-1.91459747851106,-1,TRUE
28,3,0.492976537859129,1,TRUE
29,3,-1.90846929070542,-1,TRUE
30,3,-0.137071639401437,-1,TRUE
31,3,0.912563195370048,1,TRUE
32,3,1.02701275587936,1,TRUE
33,3,1.06596966474305,1,TRUE
34,3,0.848705350071173,1,TRUE
35,3,0.535658627027132,1,TRUE
36,3,1.06596992151442,1,TRUE
37,3,0.901981504429329,1,TRUE
38,3,-1.00062660141239,-1,TRUE
39,3,0.711903815568139,1,TRUE
40,3,-0.0962794455986643,-1,TRUE
41,3,1.01092927922768,1,TRUE
42,3,0.298587160283505,1,TRUE
43,3,0.797612926555447,1,TRUE
44,3,-1.04781174404272,-1,TRUE
45,3,-0.696788942006931,-1,TRUE
46,3,1.0429454905856,1,TRUE
47,3,-1.46162612216859,-1,TRUE
48,3,-1.16348195011979,-1,TRUE
49,3,-0.902551553151345,-1,TRUE
50,3,-0.89193487420273,-1,TRUE
1,4,0.87997258824545,1,TRUE
2,4,-0.482272716305503,-1,TRUE
3,4,-0.284893652150144,-1,TRUE
4,4,-0.517357444340903,-1,TRUE
5,4,-0.274189949514641,-1,TRUE
6,4,2.35681535569303,1,TRUE
7,4,-0.188554125331974,-1,TRUE
8,4,-0.429643276414505,-1,TRUE
9,4,-0.505432913777433,-1,TRUE
10,4,1.02781334989287,1,TRUE
11,4,0.129905199322509,1,TRUE
12,4,0.845770255660791,1,TRUE
13,4,0.411469565814448,1,TRUE
14,4,0.729679902953753,1,TRUE
15,4,-0.415777275254123,-1,TRUE
16,4,0.193888970472811,1,TRUE
17,4,-0.444620340516582,-1,TRUE
18,4,-0.160819106652633,-1,TRUE
19,4,-0.140570561991454,-1,TRUE
20,4,-0.230673562733134,-1,TRUE
21,4,0.547279313780253,1,TRUE
22,4,-0.349076358201976,-1,TRUE
23,4,-0.511424423946791,-1,TRUE
24,4,-0.167424188062195,-1,TRUE
25,4,-0.0924061114454494,-1,TRUE
26,4,-0.465794161826295,-1,TRUE
27,4,-0.317928723297907,-1,TRUE
28,4,-0.201532714383687,-1,TRUE
29,4,-0.377640141954663,-1,TRUE
30,4,-0.383000567858914,-1,TRUE
31,4,0.0812652950981222,1,TRUE
32,4,0.141916244772076,1,TRUE
33,4,1.27606504156998,1,TRUE
34,4,0.387577540981598,1,TRUE
35,4,-0.219831681140773,-1,TRUE
36,4,4.66471055484139,1,TRUE
37,4,-0.131779548004404,-1,TRUE
38,4,-0.267422654332111,-1,TRUE
39,4,-0.275587814178635,-1,TRUE
40,4,-0.362324251092906,-1,TRUE
41,4,-0.418845769394712,-1,TRUE
42,4,-0.0860195415912227,-1,TRUE
43,4,-0.461727449055779,-1,TRUE
44,4,-0.514014993453593,-1,TRUE
45,4,-0.428285857160931,-1,TRUE
46,4,-0.260020491760748,-1,TRUE
47,4,-0.3115996090782,-1,TRUE
48,4,-0.252600160724005,-1,TRUE
49,4,-0.419136788561146,-1,TRUE
50,4,-0.348027696197786,-1,TRUE
