dataset: miniboone
hyperparameters: ntree=200, minsplit=464, minbucket=232, maxdepth=4, seed=42, train_cores=8
seed=42, N=100
LL_per_dim:
dim01: -1.124651
dim02: -0.653721
dim03: -6.129135
dim04: 1.788180
dim05: -0.107381
dim06: 1.718018
dim07: 0.041216
dim08: 1.831631
dim09: 0.005490
dim10: -6.066310
dim11: -0.108564
dim12: -1.177802
dim13: -8.114547
dim14: -0.709933
dim15: -4.150193
dim16: -0.562302
dim17: -1.657318
dim18: -5.953192
dim19: -1.532272
dim20: 2.487021
dim21: -0.878867
dim22: 0.132519
dim23: 1.813638
dim24: -0.593551
dim25: -1.837251
dim26: -0.069894
dim27: -0.650941
dim28: -5.876276
dim29: 1.632981
dim30: 1.345044
dim31: -1.426489
dim32: -1.324956
dim33: -0.133973
dim34: 2.476099
dim35: -4.915900
dim36: -4.804377
dim37: -1.364112
dim38: -2.091829
dim39: 1.592672
dim40: -0.690451
dim41: -1.232306
dim42: -1.010421
dim43: 1.698547
sum: -48.385858
time_sec: train=1s, test=7s, total=8s
